Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,SYH,SYD,SYA,WHH,WHD,WHA,EloHome,EloAway
SP2,25/08/01,Ath Madrid,Jaen,2,0,H,0,0,D,,,,1.3,4.0,7.0,1.44,3.5,7.0,1.4,3.6,7.0,1594.73,1501.09
SP2,25/08/01,Poli Ejido,Burgos,0,1,A,0,0,D,,,,2.0,2.9,3.0,,,,2.1,3.3,2.8,1480.0,1480.0
SP2,25/08/01,Elche,Ferrol,0,0,D,0,0,D,,,,2.1,2.8,3.0,2.2,3.0,3.0,2.2,2.75,3.15,1441.29,1475.23
SP2,25/08/01,Gimnastic,Santander,0,0,D,0,0,D,,,,2.7,2.9,2.2,,,,,,,1480.0,1544.82
SP2,26/08/01,Albacete,Levante,3,0,H,0,0,D,,,,1.65,2.8,4.4,1.8,3.1,4.0,2.0,2.8,3.6,1520.43,1510.35
SP2,26/08/01,Badajoz,Recreativo,1,0,H,0,0,D,,,,2.3,2.6,2.8,2.2,2.88,3.1,2.5,2.7,2.75,1446.52,1503.55
SP2,26/08/01,Cordoba,Leganes,1,1,D,0,1,A,,,,1.75,2.9,3.8,1.8,3.1,4.0,1.9,3.0,3.6,1468.14,1440.24
SP2,26/08/01,Murcia,Eibar,0,0,D,0,0,D,,,,1.8,2.8,3.7,1.91,3.0,3.75,2.0,2.85,3.5,1443.52,1439.36
SP2,26/08/01,Numancia,Salamanca,2,2,D,2,0,H,,,,1.7,2.9,4.0,1.73,3.2,4.33,1.7,3.1,4.5,1529.54,1460.25
SP2,26/08/01,Oviedo,Extremadura,1,1,D,0,0,D,,,,1.65,2.9,4.2,1.67,3.25,4.5,1.65,3.2,4.6,1534.33,1490.56
SP2,26/08/01,Xerez,Sp Gijon,1,0,H,0,0,D,,,,2.6,2.8,2.3,,,,2.55,2.85,2.55,1480.0,1511.5
SP2,01/09/01,Eibar,Ath Madrid,0,3,A,0,2,A,,,,3.0,2.8,2.1,3.25,2.9,2.1,,,,1443.0,1600.9
SP2,01/09/01,Ferrol,Murcia,2,0,H,1,0,H,,,,2.1,2.8,3.0,2.0,3.0,3.4,2.1,2.75,3.4,1477.58,1439.88
SP2,02/09/01,Burgos,Gimnastic,1,0,H,1,0,H,,,,1.8,2.9,3.6,1.91,3.1,3.6,1.8,2.9,4.2,1496.0,1478.74
SP2,02/09/01,Extremadura,Xerez,0,1,A,0,1,A,,,,1.6,3.0,4.4,1.62,3.25,5.0,1.75,2.95,4.5,1495.46,1490.07
SP2,02/09/01,Jaen,Poli Ejido,3,1,H,1,0,H,,,,1.6,3.0,4.4,,,,1.7,3.1,4.4,1494.92,1464.0
SP2,02/09/01,Leganes,Elche,0,0,D,0,0,D,,,,1.9,2.8,3.3,1.91,3.0,3.75,2.1,2.75,3.4,1444.64,1438.94
SP2,02/09/01,Levante,Cordoba,3,1,H,2,1,H,,,,1.9,2.8,3.3,1.91,3.0,3.75,2.0,2.85,3.5,1501.68,1463.74
SP2,02/09/01,Santander,Oviedo,1,1,D,1,0,H,,,,1.85,2.9,3.4,1.91,3.1,3.6,1.9,2.9,3.75,1546.08,1529.43
SP2,02/09/01,Recreativo,Numancia,1,0,H,0,0,D,,,,2.3,2.7,2.7,2.25,2.8,3.1,2.35,2.7,2.95,1492.59,1523.89
SP2,02/09/01,Salamanca,Albacete,2,0,H,2,0,H,,,,2.0,2.8,3.1,2.0,2.9,3.5,2.0,2.85,3.5,1465.9,1529.1
SP2,02/09/01,Sp Gijon,Badajoz,3,0,H,0,0,D,,,,1.75,2.9,3.8,1.73,3.2,4.33,1.8,2.9,4.2,1501.43,1457.48
SP2,08/09/01,Albacete,Recreativo,0,0,D,0,0,D,,,,1.8,2.9,3.7,1.91,3.2,3.5,1.9,2.9,3.75,1517.92,1502.65
SP2,08/09/01,Ath Madrid,Ferrol,1,1,D,0,1,A,,,,1.4,3.4,5.8,1.4,3.75,7.0,1.35,3.75,7.5,1611.34,1485.37
SP2,08/09/01,Elche,Levante,2,2,D,1,1,D,,,,2.2,2.8,2.8,2.25,3.0,2.88,2.25,2.8,3.0,1442.63,1509.46
SP2,08/09/01,Gimnastic,Jaen,0,2,A,0,0,D,,,,2.1,2.8,3.0,,,,2.4,2.8,2.75,1470.31,1502.92
SP2,08/09/01,Xerez,Badajoz,2,0,H,0,0,D,,,,,,,,,,,,,1506.25,1449.88
SP2,09/09/01,Cordoba,Salamanca,4,2,H,0,0,D,,,,2.3,2.8,2.6,2.25,2.88,3.0,2.2,2.9,2.95,1455.96,1477.08
SP2,09/09/01,Poli Ejido,Eibar,0,0,D,0,0,D,,,,2.3,2.8,2.6,2.2,3.0,3.0,2.25,3.0,2.8,1456.0,1432.56
SP2,09/09/01,Extremadura,Santander,2,0,H,1,0,H,,,,2.3,2.9,2.5,2.38,2.9,2.75,2.35,2.85,2.75,1479.28,1542.03
SP2,09/09/01,Murcia,Leganes,0,0,D,0,0,D,,,,2.0,2.7,3.3,1.91,3.0,3.75,2.0,2.8,3.6,1432.09,1440.95
SP2,09/09/01,Numancia,Sp Gijon,3,1,H,1,0,H,,,,1.8,2.9,3.7,1.83,3.0,4.0,1.8,3.0,4.0,1513.83,1509.03
SP2,09/09/01,Oviedo,Burgos,2,0,H,1,0,H,,,,1.65,2.9,4.2,1.53,3.5,5.5,1.6,3.3,4.75,1533.48,1504.43
SP2,15/09/01,Ferrol,Poli Ejido,2,1,H,0,1,A,,,,,,,,,,,,,1492.52,1451.74
SP2,15/09/01,Recreativo,Cordoba,2,1,H,0,0,D,,,,1.8,2.8,3.8,1.8,3.1,4.0,1.8,2.9,4.2,1506.65,1465.67
SP2,15/09/01,Salamanca,Elche,1,0,H,0,0,D,,,,1.75,2.8,4.0,1.67,3.25,4.5,1.75,3.0,4.3,1467.37,1441.44
SP2,16/09/01,Badajoz,Numancia,0,0,D,0,0,D,,,,2.3,2.7,2.7,2.38,2.88,2.8,2.5,2.8,2.6,1442.65,1522.67
SP2,16/09/01,Burgos,Extremadura,1,0,H,0,0,D,,,,2.2,2.8,2.8,2.1,3.0,3.2,2.1,2.85,3.2,1496.37,1490.44
SP2,16/09/01,Eibar,Gimnastic,3,1,H,2,1,H,,,,1.8,2.8,3.8,1.8,3.1,4.0,,,,1436.82,1455.42
SP2,16/09/01,Jaen,Oviedo,1,3,A,1,1,D,,,,2.3,2.8,2.6,2.38,2.88,2.8,2.4,2.8,2.75,1517.81,1541.54
SP2,16/09/01,Leganes,Ath Madrid,0,3,A,0,2,A,,,,3.0,2.8,2.1,3.3,2.9,2.1,3.2,2.85,2.1,1444.16,1604.19
SP2,16/09/01,Levante,Murcia,0,0,D,0,0,D,,,,1.8,2.8,3.8,1.73,3.2,4.33,1.85,2.85,4.0,1510.65,1428.88
SP2,16/09/01,Santander,Xerez,1,0,H,1,0,H,,,,1.8,2.9,3.6,1.83,3.0,4.0,1.8,2.9,4.2,1530.87,1513.48
SP2,16/09/01,Sp Gijon,Albacete,0,0,D,0,0,D,,,,2.1,2.8,3.0,1.91,3.1,3.6,2.1,2.7,3.4,1500.19,1513.92
SP2,22/09/01,Ath Madrid,Levante,2,1,H,1,1,D,,,,1.45,3.2,5.5,,,,1.45,3.35,6.5,1614.55,1504.65
SP2,22/09/01,Extremadura,Jaen,5,0,H,2,0,H,,,,2.0,2.8,3.1,,,,2.0,2.85,3.45,1481.64,1502.61
SP2,23/09/01,Albacete,Badajoz,2,0,H,1,0,H,,,,1.8,2.7,3.9,,,,1.75,3.0,4.2,1516.96,1441.93
SP2,23/09/01,Cordoba,Sp Gijon,1,2,A,1,2,A,,,,2.2,2.7,2.9,,,,2.15,2.85,3.05,1457.98,1497.15
SP2,23/09/01,Poli Ejido,Leganes,1,1,D,0,0,D,,,,2.3,2.7,2.7,,,,2.25,2.75,3.0,1444.04,1433.8
SP2,23/09/01,Elche,Recreativo,1,1,D,1,0,H,,,,2.5,2.7,2.5,,,,2.5,2.85,2.55,1433.28,1514.34
SP2,23/09/01,Murcia,Salamanca,3,3,D,2,2,D,,,,2.5,2.7,2.5,,,,2.45,2.75,2.7,1434.88,1475.53
SP2,23/09/01,Oviedo,Eibar,1,0,H,0,0,D,,,,1.55,3.0,5.0,,,,1.55,3.15,5.5,1556.74,1446.44
SP2,23/09/01,Santander,Burgos,0,2,A,0,0,D,,,,1.75,3.1,3.6,,,,1.75,3.05,4.1,1539.3,1505.17
SP2,23/09/01,Xerez,Numancia,2,1,H,0,1,A,,,,2.2,2.8,2.8,,,,2.2,2.8,3.0,1505.05,1523.39
SP2,29/09/01,Badajoz,Cordoba,0,1,A,0,1,A,,,,2.1,2.7,3.1,2.0,2.88,3.6,2.2,2.7,3.2,1435.24,1443.31
SP2,29/09/01,Eibar,Extremadura,0,0,D,0,0,D,,,,2.2,2.8,2.8,2.25,3.0,2.88,2.2,2.9,3.0,1440.7,1491.34
SP2,29/09/01,Jaen,Santander,0,0,D,0,0,D,,,,2.3,2.8,2.6,2.38,2.88,2.8,2.25,2.85,2.9,1492.91,1522.2
SP2,29/09/01,Leganes,Gimnastic,2,1,H,2,0,H,,,,,,,1.83,3.0,4.0,1.75,3.0,4.3,1437.64,1445.8
SP2,29/09/01,Numancia,Albacete,1,0,H,1,0,H,,,,1.9,2.9,3.2,1.8,3.1,4.0,1.8,3.0,4.0,1513.78,1523.65
SP2,29/09/01,Recreativo,Murcia,0,1,A,0,1,A,,,,1.7,2.9,4.0,1.67,3.1,5.0,1.65,3.1,4.75,1515.02,1432.77
SP2,29/09/01,Salamanca,Ath Madrid,0,0,D,0,0,D,,,,2.5,2.8,2.4,2.62,2.88,2.5,2.6,2.85,2.5,1477.64,1620.3
SP2,29/09/01,Sp Gijon,Elche,0,1,A,0,0,D,,,,1.7,2.9,4.0,1.73,3.1,4.5,1.7,3.1,4.5,1511.82,1432.6
SP2,30/09/01,Burgos,Xerez,3,1,H,1,1,D,,,,2.1,2.8,3.0,1.91,3.0,3.75,2.1,2.8,3.3,1522.27,1514.66
SP2,30/09/01,Levante,Poli Ejido,0,0,D,0,0,D,,,,1.6,3.0,4.5,1.53,3.3,6.0,1.65,3.0,5.0,1498.9,1440.2
SP2,30/09/01,Ferrol,Oviedo,0,2,A,0,0,D,,,,2.45,2.7,2.55,2.5,2.88,2.62,2.5,2.75,2.7,1500.22,1562.48
SP2,02/10/01,Ath Madrid,Recreativo,1,1,D,0,1,A,,,,1.5,3.2,5.0,,,,,,,1618.77,1496.5
SP2,03/10/01,Burgos,Jaen,0,0,D,0,0,D,,,,1.75,3.0,3.7,,,,1.72,2.87,4.75,1531.02,1490.4
SP2,03/10/01,Cordoba,Numancia,1,0,H,1,0,H,,,,2.2,2.8,2.8,,,,2.37,2.8,2.8,1459.04,1523.11
SP2,03/10/01,Poli Ejido,Salamanca,2,5,A,1,1,D,,,,2.8,2.8,2.2,,,,2.6,2.9,2.45,1445.54,1479.17
SP2,03/10/01,Elche,Badajoz,1,0,H,0,0,D,,,,1.9,2.8,3.3,,,,2.0,3.0,3.25,1451.03,1419.51
SP2,03/10/01,Extremadura,Ferrol,1,2,A,1,0,H,,,,1.8,2.8,3.7,,,,1.8,3.0,4.0,1493.1,1486.37
SP2,03/10/01,Gimnastic,Levante,1,0,H,0,0,D,,,,2.5,2.7,2.5,,,,2.5,2.9,2.5,1436.53,1493.56
SP2,03/10/01,Murcia,Sp Gijon,3,1,H,1,0,H,,,,2.3,2.7,2.7,,,,2.25,2.87,2.87,1451.29,1493.39
SP2,03/10/01,Oviedo,Leganes,0,0,D,0,0,D,,,,1.5,3.2,5.0,,,,1.53,3.25,5.5,1576.33,1446.91
SP2,03/10/01,Santander,Eibar,1,1,D,1,0,H,,,,1.75,2.9,3.8,,,,1.72,2.87,4.75,1524.71,1438.94
SP2,03/10/01,Xerez,Albacete,1,2,A,0,1,A,,,,2.0,2.8,3.1,,,,1.8,3.0,4.0,1505.91,1514.32
SP2,06/10/01,Jaen,Xerez,0,2,A,0,1,A,,,,2.1,2.8,3.0,2.0,3.0,3.4,2.35,2.8,2.8,1495.2,1490.19
SP2,06/10/01,Levante,Oviedo,0,0,D,0,0,D,,,,2.45,2.8,2.45,2.4,2.88,2.75,2.5,2.8,2.65,1482.6,1569.1
SP2,07/10/01,Albacete,Cordoba,0,0,D,0,0,D,,,,1.75,2.9,3.8,1.73,3.2,4.33,1.85,2.95,3.85,1530.04,1470.25
SP2,07/10/01,Badajoz,Murcia,1,1,D,0,1,A,,,,2.1,2.8,3.0,2.1,2.88,3.3,2.2,2.75,3.15,1411.53,1461.73
SP2,07/10/01,Eibar,Burgos,1,0,H,0,0,D,,,,2.2,2.8,2.8,2.2,3.0,3.0,2.6,2.7,2.6,1445.05,1526.22
SP2,07/10/01,Leganes,Extremadura,2,0,H,1,0,H,,,,2.3,2.7,2.7,2.25,2.88,3.0,2.45,2.75,2.75,1454.14,1476.88
SP2,07/10/01,Numancia,Elche,1,1,D,0,0,D,,,,1.7,2.9,4.0,1.8,3.0,4.33,1.7,3.05,4.5,1511.9,1459.01
SP2,07/10/01,Ferrol,Santander,2,0,H,1,0,H,,,,2.2,2.7,2.7,2.25,2.88,3.0,2.3,2.7,3.0,1502.59,1518.6
SP2,07/10/01,Recreativo,Poli Ejido,1,0,H,1,0,H,,,,1.55,3.1,4.8,1.44,3.5,7.0,1.6,3.0,5.5,1503.56,1430.68
SP2,07/10/01,Salamanca,Gimnastic,3,3,D,1,3,A,,,,1.45,3.3,5.5,1.4,3.75,7.0,1.55,3.05,6.0,1494.03,1447.49
SP2,07/10/01,Sp Gijon,Ath Madrid,2,1,H,1,0,H,,,,2.6,2.7,2.4,2.62,2.88,2.5,2.75,2.85,2.35,1482.95,1611.71
SP2,13/10/01,Santander,Leganes,3,1,H,1,0,H,,,,,,,1.8,3.0,4.33,1.9,2.85,3.85,1509.06,1463.91
SP2,13/10/01,Xerez,Cordoba,1,0,H,0,0,D,,,,,,,1.8,3.1,4.0,2.0,2.9,3.4,1506.36,1475.63
SP2,14/10/01,Ath Madrid,Badajoz,1,0,H,0,0,D,,,,1.4,3.4,6.0,1.4,3.75,7.0,1.4,3.5,7.5,1598.18,1409.75
SP2,14/10/01,Burgos,Ferrol,2,4,A,1,2,A,,,,1.9,2.8,3.4,1.83,3.0,4.0,1.95,2.9,3.6,1514.4,1512.13
SP2,14/10/01,Poli Ejido,Sp Gijon,2,2,D,0,1,A,,,,2.6,2.8,2.3,2.75,2.88,2.4,2.6,2.7,2.6,1423.93,1496.48
SP2,14/10/01,Elche,Albacete,1,0,H,1,0,H,,,,2.3,2.8,2.6,2.4,2.88,2.75,2.4,2.75,2.8,1464.18,1524.66
SP2,14/10/01,Extremadura,Levante,1,0,H,1,0,H,,,,1.9,2.8,3.4,2.0,3.0,3.4,1.95,2.9,3.6,1467.11,1482.11
SP2,14/10/01,Gimnastic,Recreativo,1,2,A,0,2,A,,,,2.6,2.7,2.4,,,,,,,1452.47,1510.31
SP2,14/10/01,Jaen,Eibar,0,0,D,0,0,D,,,,2.0,2.8,3.1,2.0,3.0,3.4,2.0,2.9,3.4,1479.03,1456.87
SP2,14/10/01,Murcia,Numancia,1,2,A,1,2,A,,,,2.2,2.8,2.8,2.3,2.88,2.9,2.3,2.7,3.0,1463.51,1506.73
SP2,14/10/01,Oviedo,Salamanca,0,0,D,0,0,D,,,,1.8,2.9,3.6,1.8,3.1,4.0,1.85,2.9,4.0,1569.59,1489.05
SP2,20/10/01,Cordoba,Elche,3,0,H,1,0,H,2.15,2.9,3.1,2.1,2.8,3.0,,,,2.1,2.9,3.2,1467.62,1475.26
SP2,20/10/01,Leganes,Burgos,0,0,D,0,0,D,2.4,2.85,2.75,2.3,2.7,2.7,,,,2.4,2.85,2.7,1456.35,1498.32
SP2,20/10/01,Ferrol,Jaen,0,1,A,0,0,D,1.75,3.1,4.2,1.7,2.9,4.0,,,,1.7,3.1,4.5,1528.21,1474.81
SP2,21/10/01,Albacete,Murcia,1,0,H,0,0,D,1.9,3.0,3.7,1.9,2.8,3.4,,,,1.85,3.0,3.8,1513.58,1448.99
SP2,21/10/01,Badajoz,Poli Ejido,0,1,A,0,0,D,2.05,2.9,3.35,2.0,2.7,3.3,,,,2.1,2.8,3.3,1405.76,1422.94
SP2,21/10/01,Eibar,Xerez,2,0,H,2,0,H,2.45,2.9,2.65,2.4,2.7,2.7,,,,2.5,2.65,2.75,1461.09,1514.37
SP2,21/10/01,Levante,Santander,1,1,D,1,1,D,2.45,2.75,2.8,2.4,2.7,2.6,,,,2.5,2.7,2.75,1472.61,1516.62
SP2,21/10/01,Numancia,Ath Madrid,1,2,A,0,1,A,2.55,2.8,2.6,2.5,2.7,2.5,,,,2.6,2.7,2.65,1521.25,1602.17
SP2,21/10/01,Recreativo,Oviedo,0,2,A,0,0,D,2.4,2.75,2.85,2.4,2.7,2.7,,,,2.35,2.75,2.9,1524.32,1563.62
SP2,21/10/01,Salamanca,Extremadura,0,0,D,0,0,D,1.8,2.9,4.3,1.8,2.8,3.7,,,,1.85,2.9,4.0,1495.02,1476.61
SP2,21/10/01,Sp Gijon,Gimnastic,1,1,D,1,0,H,1.75,2.9,4.55,1.7,2.9,4.0,,,,1.7,3.1,4.5,1497.47,1438.46
SP2,27/10/01,Ath Madrid,Albacete,3,2,H,1,1,D,1.55,3.25,5.5,1.55,3.1,4.8,1.57,3.25,5.5,1.6,3.25,5.0,1615.36,1520.56
SP2,27/10/01,Eibar,Ferrol,2,0,H,0,0,D,2.3,2.75,2.95,2.2,2.8,2.8,2.2,3.0,3.0,2.2,2.85,3.0,1471.92,1510.52
SP2,27/10/01,Poli Ejido,Numancia,3,4,A,1,2,A,2.77,2.75,2.42,2.7,2.7,2.3,2.75,2.88,2.4,2.9,2.75,2.35,1438.36,1508.06
SP2,27/10/01,Xerez,Elche,2,0,H,1,0,H,1.8,2.9,4.25,1.9,2.9,3.2,1.8,3.1,4.0,1.9,3.0,3.6,1503.54,1466.01
SP2,28/10/01,Burgos,Levante,0,1,A,0,1,A,1.65,3.0,5.0,1.65,2.9,4.4,1.73,3.1,4.5,1.65,3.25,4.5,1500.39,1470.61
SP2,28/10/01,Extremadura,Recreativo,0,3,A,0,3,A,2.1,2.9,3.15,2.1,2.8,3.0,,,,2.15,2.85,3.1,1480.71,1509.66
SP2,28/10/01,Gimnastic,Badajoz,1,1,D,0,0,D,1.9,2.8,3.9,2.0,2.8,3.1,1.91,3.0,3.75,2.0,3.0,3.3,1443.81,1390.34
SP2,28/10/01,Jaen,Leganes,1,0,H,1,0,H,2.05,2.85,3.3,2.1,2.8,3.0,2.0,2.88,3.6,2.1,2.9,3.2,1492.5,1454.28
SP2,28/10/01,Murcia,Cordoba,1,0,H,0,0,D,1.95,2.9,3.55,2.0,2.8,3.1,2.0,2.88,3.6,2.1,2.9,3.2,1442.01,1476.87
SP2,28/10/01,Oviedo,Sp Gijon,0,2,A,0,1,A,1.65,3.2,4.5,1.7,2.9,4.0,1.67,3.25,4.5,1.75,3.2,4.0,1578.28,1492.12
SP2,28/10/01,Santander,Salamanca,2,0,H,1,0,H,2.1,2.8,3.3,2.0,2.8,3.1,2.1,2.88,3.3,2.1,2.9,3.2,1518.62,1490.92
SP2,03/11/01,Albacete,Poli Ejido,2,1,H,2,0,H,1.65,3.0,5.4,1.5,3.0,5.3,1.5,3.4,6.0,1.6,2.85,6.0,1514.42,1424.77
SP2,03/11/01,Cordoba,Ath Madrid,0,2,A,0,1,A,2.95,2.7,2.35,2.6,2.8,2.3,3.0,2.88,2.25,2.65,2.75,2.5,1466.69,1621.5
SP2,03/11/01,Leganes,Eibar,1,0,H,0,0,D,2.25,2.8,3.05,2.2,2.7,2.9,2.2,2.8,3.2,,,,1446.51,1482.23
SP2,03/11/01,Numancia,Gimnastic,0,0,D,0,0,D,,,,,,,,,,,,,1521.65,1438.62
SP2,03/11/01,Recreativo,Santander,1,1,D,0,0,D,2.1,2.8,3.4,1.9,2.8,3.4,,,,,,,1524.68,1526.72
SP2,03/11/01,Sp Gijon,Extremadura,1,1,D,1,1,D,2.05,2.85,3.4,1.9,2.8,3.4,,,,1.85,2.85,4.0,1510.74,1465.69
SP2,04/11/01,Badajoz,Oviedo,1,0,H,0,0,D,3.4,2.7,2.15,3.1,2.7,2.1,3.25,2.9,2.1,3.1,2.65,2.3,1395.53,1559.66
SP2,04/11/01,Elche,Murcia,1,1,D,1,0,H,2.15,2.8,3.3,2.1,2.7,3.1,2.0,2.88,3.6,2.15,2.75,3.25,1458.21,1452.19
SP2,04/11/01,Levante,Jaen,0,1,A,0,0,D,2.3,2.75,3.0,2.1,2.7,3.1,2.1,2.9,3.25,2.2,2.75,3.1,1487.57,1500.27
SP2,04/11/01,Ferrol,Xerez,2,2,D,0,2,A,2.2,2.8,3.1,2.1,2.8,3.0,2.1,3.0,3.2,2.2,2.75,3.1,1500.21,1511.34
SP2,04/11/01,Salamanca,Burgos,0,1,A,0,0,D,2.05,2.8,3.5,2.0,2.8,3.1,1.91,3.1,3.6,1.9,2.85,3.8,1482.82,1483.43
SP2,06/11/01,Poli Ejido,Cordoba,1,1,D,1,1,D,,,,,,,,,,,,,1418.49,1456.15
SP2,07/11/01,Ath Madrid,Elche,4,0,H,2,0,H,1.4,3.75,6.5,1.35,3.5,7.0,1.36,3.75,8.0,1.45,3.5,6.25,1632.04,1454.51
SP2,07/11/01,Burgos,Recreativo,1,3,A,0,1,A,2.1,2.85,3.25,2.2,2.8,2.8,2.1,2.88,3.3,2.2,2.8,3.1,1499.41,1521.25
SP2,07/11/01,Eibar,Levante,7,0,H,4,0,H,1.71,2.95,4.7,1.65,2.9,4.4,1.73,3.1,4.5,1.8,3.0,4.0,1472.02,1471.99
SP2,07/11/01,Extremadura,Badajoz,0,4,A,0,1,A,1.65,3.05,5.0,1.65,2.9,4.4,1.67,3.1,5.0,1.7,3.1,4.5,1470.63,1410.31
SP2,07/11/01,Gimnastic,Albacete,0,1,A,0,1,A,2.57,2.85,2.52,2.45,2.8,2.45,2.62,2.88,2.5,2.7,2.85,2.4,1444.66,1520.7
SP2,07/11/01,Jaen,Salamanca,0,1,A,0,1,A,2.15,2.85,3.15,2.1,2.7,3.1,2.2,2.8,3.2,2.1,2.8,3.25,1515.85,1466.84
SP2,07/11/01,Oviedo,Numancia,0,0,D,0,0,D,1.85,2.8,4.2,1.9,2.8,3.4,1.8,3.0,4.33,1.9,2.8,4.0,1544.88,1515.61
SP2,07/11/01,Santander,Sp Gijon,2,1,H,1,0,H,1.97,3.0,3.4,2.1,2.8,3.0,2.0,2.9,3.5,2.05,2.75,3.5,1530.15,1505.8
SP2,07/11/01,Xerez,Murcia,3,1,H,0,0,D,1.65,3.0,5.0,1.6,3.0,4.6,1.73,3.1,4.5,1.75,3.1,4.2,1514.47,1455.89
SP2,08/11/01,Ferrol,Leganes,3,0,H,1,0,H,1.75,2.9,4.5,1.85,2.8,3.5,1.8,3.0,4.33,1.85,2.9,4.0,1497.08,1456.72
SP2,10/11/01,Sp Gijon,Burgos,0,1,A,0,0,D,1.9,2.95,3.7,1.9,2.9,3.2,1.91,3.0,3.75,2.0,2.9,3.4,1497.59,1484.14
SP2,11/11/01,Albacete,Oviedo,1,1,D,0,0,D,2.2,2.8,3.1,2.2,2.8,2.8,2.25,2.8,3.1,2.25,2.8,3.0,1534.06,1540.43
SP2,11/11/01,Badajoz,Santander,3,2,H,2,0,H,2.48,2.7,2.75,2.4,2.6,2.7,2.5,2.88,2.62,2.4,2.8,2.75,1428.2,1538.36
SP2,11/11/01,Cordoba,Gimnastic,1,1,D,0,0,D,1.68,3.0,4.8,1.65,2.9,4.4,1.73,3.1,4.5,1.65,3.0,5.0,1458.37,1431.3
SP2,11/11/01,Elche,Poli Ejido,2,0,H,1,0,H,1.7,3.0,4.65,1.7,2.9,4.0,1.8,3.1,4.0,1.65,3.0,5.0,1450.3,1416.27
SP2,11/11/01,Leganes,Xerez,0,1,A,0,1,A,2.45,2.75,2.75,2.3,2.8,2.6,2.38,2.88,2.8,2.55,2.8,2.55,1449.01,1521.63
SP2,11/11/01,Levante,Ferrol,3,1,H,2,1,H,2.5,2.7,2.75,2.5,2.6,2.6,2.6,2.8,2.6,2.4,2.8,2.75,1462.99,1504.79
SP2,11/11/01,Murcia,Ath Madrid,3,1,H,2,1,H,3.25,2.9,2.08,3.1,2.8,2.0,3.5,2.9,2.0,3.4,2.9,2.0,1448.73,1636.25
SP2,11/11/01,Numancia,Extremadura,0,0,D,0,0,D,1.82,2.95,4.05,1.8,2.8,3.7,1.8,3.1,4.0,1.8,3.0,4.0,1520.06,1452.74
SP2,11/11/01,Recreativo,Jaen,0,3,A,0,1,A,1.85,2.9,4.0,1.8,2.9,3.6,1.73,3.1,4.5,1.8,3.0,4.0,1536.52,1498.3
SP2,11/11/01,Salamanca,Eibar,1,0,H,1,0,H,1.98,2.85,3.6,1.9,2.8,3.4,2.0,2.9,3.5,2.0,2.85,3.5,1484.39,1481.02
SP2,14/11/01,Gimnastic,Ferrol,2,0,H,2,0,H,2.55,2.8,2.6,2.5,2.6,2.6,,,,2.7,2.7,2.55,1435.68,1494.36
SP2,17/11/01,Jaen,Sp Gijon,3,3,D,2,0,H,2.05,2.8,3.45,2.0,2.8,3.1,2.0,2.88,3.6,2.0,2.8,3.6,1515.53,1481.15
SP2,17/11/01,Santander,Numancia,4,0,H,2,0,H,2.1,2.8,3.4,2.1,2.8,3.0,2.0,2.88,3.6,2.1,2.8,3.3,1525.49,1514.47
SP2,18/11/01,Burgos,Badajoz,0,1,A,0,0,D,1.75,2.9,4.55,1.7,2.8,4.2,1.67,3.1,5.0,1.7,3.0,4.6,1500.58,1441.07
