Rok,B1_elo,D1_elo,D2_elo,E0_elo,E1_elo,E2_elo,E3_elo,EC_elo,F1_elo,F2_elo,G1_elo,I1_elo,I2_elo,N1_elo,P1_elo,SC0_elo,SC1_elo,SC2_elo,SC3_elo,SP1_elo,SP2_elo,T1_elo
1993-94,,27.54,33.7,36.41,49.09,48.73,34.6,,36.78,,,27.72,,29.53,,,,,,34.78,,
1994-95,,28.44,25.72,39.31,45.65,48.01,39.86,,35.87,,34.78,29.89,,28.99,31.52,13.04,15.76,,,34.24,,33.15
1995-96,27.9,22.28,26.81,33.51,40.58,46.92,44.2,,35.69,,32.61,30.8,,29.53,31.88,17.03,15.04,,,38.77,,32.43
1996-97,27.9,27.36,27.54,30.07,45.65,47.1,44.93,,33.15,39.49,33.88,26.27,,28.08,30.62,17.03,16.12,,,43.48,29.35,34.42
1997-98,47.39,46.08,40.52,49.47,48.91,47.1,49.28,,49.35,39.49,35.87,52.94,47.37,58.5,53.59,50.0,12.68,12.32,14.86,49.47,47.4,52.61
1998-99,29.35,50.65,50.33,47.89,48.55,44.57,45.83,,27.17,30.8,34.24,53.59,46.05,27.54,28.44,46.11,15.04,16.12,13.77,48.42,44.81,30.62
1999-00,29.89,28.8,26.63,35.87,50.91,43.66,45.65,,28.08,30.43,35.69,28.08,34.6,31.88,28.62,15.58,16.3,13.41,13.59,33.15,34.96,31.34
2000-01,54.9,50.65,50.33,51.32,45.47,47.64,49.28,,49.67,46.32,62.92,50.0,48.68,53.59,56.86,53.51,45.0,40.0,50.0,52.89,43.29,58.17
2001-02,53.27,53.27,53.59,50.26,48.37,48.19,48.37,,49.67,43.16,47.08,51.63,44.74,52.29,57.52,57.02,40.88,38.67,43.33,46.58,41.99,52.29
2002-03,55.84,50.49,45.42,53.16,45.11,43.3,43.66,,48.68,48.95,62.08,48.57,48.56,57.84,52.94,54.82,52.49,41.44,46.67,45.79,38.31,52.94
2003-04,49.35,54.58,45.1,48.68,45.65,44.2,46.01,,51.58,43.16,60.0,51.96,46.92,52.29,56.86,55.7,48.89,37.5,44.44,47.63,41.99,49.67
2004-05,58.17,53.59,49.67,52.11,42.39,47.1,44.38,,45.79,47.37,52.92,47.89,47.4,57.84,48.37,57.46,45.0,46.67,53.89,52.63,42.42,55.88
2005-06,49.02,50.0,50.0,53.95,44.57,41.67,40.58,44.59,47.89,44.21,60.83,52.89,48.27,55.56,52.29,55.7,41.67,52.78,55.0,43.95,44.81,48.37
2006-07,53.27,47.71,47.39,51.84,48.01,44.93,45.65,43.12,48.68,48.68,52.92,50.79,48.05,59.48,52.08,48.68,45.0,46.67,57.22,47.89,47.4,45.75
2007-08,51.96,48.69,45.42,56.32,41.3,47.46,43.66,47.28,45.53,45.53,57.08,51.32,47.84,52.61,51.25,60.09,46.67,47.22,47.78,48.42,43.07,59.15
2008-09,53.92,50.98,49.02,56.58,42.21,46.56,41.49,51.09,47.37,46.05,52.08,53.42,43.72,53.27,57.92,49.12,37.22,47.78,39.44,51.84,48.27,52.94
2009-10,52.86,46.08,48.37,53.95,45.29,50.91,44.93,46.44,50.26,43.95,55.42,52.89,45.89,62.09,54.17,50.0,47.78,41.11,48.89,55.79,43.72,48.16
2010-11,52.08,47.06,52.94,48.68,47.46,45.47,43.3,45.47,43.95,46.58,47.08,49.47,45.67,56.21,49.58,55.7,47.78,46.67,43.33,59.47,46.54,53.27
2011-12,55.0,51.63,45.42,52.11,45.47,42.93,45.65,48.01,48.95,44.21,54.17,48.42,43.29,58.17,57.08,50.88,42.78,42.22,47.22,54.21,48.7,52.29
2012-13,49.17,49.02,44.44,49.74,42.75,42.68,40.43,42.93,46.32,42.78,53.53,53.52,45.4,50.81,53.94,40.79,42.78,52.22,53.33,55.26,48.71,47.88
2013-14,52.92,56.21,40.85,58.16,43.84,46.38,37.5,50.63,49.87,47.37,58.28,55.26,42.55,48.69,53.33,53.95,47.22,54.44,43.89,52.11,41.9,47.08
2014-15,49.17,50.98,40.85,51.97,42.86,41.49,45.47,45.62,52.63,43.16,50.28,44.09,43.32,53.27,52.77,53.51,53.85,48.89,41.11,55.53,47.19,50.49
2015-16,49.17,50.33,44.44,47.89,43.66,43.4,43.04,45.11,46.46,43.42,49.6,51.97,46.97,54.58,53.42,44.3,54.44,41.67,46.67,53.68,44.37,50.8
2016-17,52.92,49.35,45.42,60.0,48.91,45.65,42.39,44.93,54.47,41.84,52.5,57.89,42.64,56.54,48.37,50.0,43.89,42.78,38.89,55.0,44.37,54.25
2017-18,43.75,49.35,40.85,54.21,43.12,43.12,44.75,42.39,52.11,48.16,51.25,56.58,42.42,54.25,59.8,51.32,51.67,51.67,45.0,54.74,48.92,56.21
2018-19,48.33,50.33,43.79,58.16,44.93,44.2,44.2,43.66,45.79,43.42,59.58,52.63,43.57,56.86,55.88,56.14,35.56,44.44,54.44,47.63,45.24,49.02
2019-20,55.6,51.31,42.81,50.53,41.85,48.25,40.68,38.58,54.12,38.57,53.75,53.42,46.32,56.47,49.02,53.63,43.07,45.32,51.82,48.68,41.56,48.37
2020-21,44.12,50.33,44.44,48.95,42.57,40.04,40.4,46.33,47.11,41.84,47.5,55.0,41.58,52.29,52.61,48.68,42.22,52.73,46.36,49.47,42.86,47.38
2021-22,50.98,49.67,43.79,52.89,45.47,49.46,43.12,51.98,47.89,45.0,53.33,50.79,43.42,52.61,52.29,51.32,40.0,44.44,43.33,50.53,44.59,50.79
2022-23,50.33,51.31,46.41,53.42,44.75,48.37,40.58,47.64,51.84,44.59,54.17,51.05,41.32,58.82,60.13,60.09,39.44,51.11,43.33,53.68,45.89,52.92
2023-24,51.6,48.37,48.69,55.53,47.64,48.01,44.75,42.39,46.41,39.74,56.25,51.32,38.95,56.21,56.54,51.75,41.11,51.67,43.33,52.11,46.1,52.11
2024-25,48.4,49.02,40.85,50.79,47.28,48.37,42.93,44.93,54.58,50.0,48.07,50.79,42.63,54.25,51.96,53.07,48.33,42.78,48.33,55.26,48.48,56.73
2025-26,47.73,53.97,48.15,53.75,34.45,47.97,45.45,44.25,62.5,34.44,54.17,45.71,36.25,51.85,52.78,40.82,37.74,52.0,38.0,50.0,42.2,46.84
