method,model,strategy,selection,n_bets,n_rounds,total_profit,total_staked,roi,volatility,max_drawdown,sharpe,win_rate,final_bankroll
train_4seasons_test_1season_weekly,mlp,fixed_stake,all,7677,45,-325630.0,7677000.0,-0.04241630845382311,1.0014544710141,3.301149425287356,-0.042354704763433934,0.5042334245147844,-225630.0
train_4seasons_test_1season_weekly,lr,fixed_stake,all,7677,45,-355950.0,7677000.0,-0.04636576787807738,0.9843798557900225,3.6788103324071217,-0.04710150010217969,0.5070991272632539,-255950.0
weekly_walk_forward,lr,fixed_stake,all,7677,45,-373300.0,7677000.0,-0.04862576527289306,0.9817817948411611,3.884120613358032,-0.0495280779582596,0.5067083496157353,-273300.0
weekly_walk_forward,mlp,fixed_stake,all,7677,45,-375100.0,7677000.0,-0.048860231861404195,0.9880076334580679,3.766999804036841,-0.04945329388842002,0.504884720593982,-275100.0
weekly_walk_forward,gbm_calibrated,fixed_stake,all,7677,45,-380190.0,7677000.0,-0.04952325127002735,0.982093048282355,3.9550272717917054,-0.05042623136029902,0.5061873127523773,-280190.0
train_4seasons_test_1season_weekly,gbm_calibrated,fixed_stake,all,7677,45,-383170.0,7677000.0,-0.04991142373322913,0.9855834935682114,3.9856951734074304,-0.05064149720337702,0.5050149798098216,-283170.0
weekly_walk_forward,gbm,fixed_stake,all,7677,45,-404140.0,7677000.0,-0.05264295948938388,0.9852180313782011,4.174745291756715,-0.053432801484299595,0.5038426468672659,-304140.0
train_4seasons_test_1season_weekly,gbm,fixed_stake,all,7677,45,-433660.0,7677000.0,-0.056488211540966525,1.0036472130523844,4.4193903048475764,-0.05628293568331582,0.4966783899960922,-333660.0
weekly_walk_forward,gbm,fixed_stake,top3,135,45,-3640.0000000000005,135000.0,-0.026962962962962966,0.4645641097317538,0.05404045486565362,-0.05803927250973344,0.8222222222222222,96360.0
train_4seasons_test_1season_weekly,mlp,fixed_stake,top3,135,45,-6790.0,135000.0,-0.0502962962962963,0.48663931407265687,0.06293354780335779,-0.10335436295799748,0.8,93210.0
train_4seasons_test_1season_weekly,gbm_calibrated,fixed_stake,top3,135,45,-7090.000000000001,135000.0,-0.05251851851851853,0.4850430332016844,0.0678477954499698,-0.10827599805290049,0.8,92910.0
train_4seasons_test_1season_weekly,gbm,fixed_stake,top3,135,45,-8230.000000000002,135000.0,-0.060962962962962976,0.5074193915456211,0.06898650705082682,-0.12014314781559135,0.7851851851851852,91770.0
train_4seasons_test_1season_weekly,lr,fixed_stake,top3,135,45,-8810.0,135000.0,-0.06525925925925925,0.47688327310110845,0.06730080801881969,-0.13684535176687368,0.8,91190.0
weekly_walk_forward,mlp,fixed_stake,top3,135,45,-8820.0,135000.0,-0.06533333333333333,0.4769708523902175,0.06740308888207017,-0.13697552587528578,0.8,91180.0
weekly_walk_forward,lr,fixed_stake,top3,135,45,-10530.000000000002,135000.0,-0.07800000000000001,0.48088506710147866,0.08489311649790324,-0.16220091938005657,0.7925925925925926,89470.0
weekly_walk_forward,gbm_calibrated,fixed_stake,top3,135,45,-12000.000000000002,135000.0,-0.0888888888888889,0.49675914862364967,0.1065989847715736,-0.17893759809994383,0.7777777777777778,88000.0
train_4seasons_test_1season_weekly,gbm_calibrated,fixed_stake,top5,225,45,-6460.000000000001,225000.0,-0.028711111111111114,0.4988912985588926,0.09270216962524655,-0.05754983338864923,0.8,93540.0
weekly_walk_forward,gbm,fixed_stake,top5,225,45,-6640.000000000002,225000.0,-0.02951111111111112,0.501789859893625,0.10322386864237085,-0.058811692841635364,0.8,93360.0
train_4seasons_test_1season_weekly,gbm,fixed_stake,top5,225,45,-7160.000000000001,225000.0,-0.031822222222222224,0.5162128267872494,0.08507014028056112,-0.06164554728380927,0.7911111111111111,92840.0
weekly_walk_forward,mlp,fixed_stake,top5,225,45,-7510.0,225000.0,-0.03337777777777778,0.4901185757079284,0.09713002733307302,-0.06810143388172313,0.8044444444444444,92490.0
weekly_walk_forward,gbm_calibrated,fixed_stake,top5,225,45,-12080.0,225000.0,-0.05368888888888889,0.497664358269772,0.12786429917666897,-0.10788172389027192,0.7911111111111111,87920.0
train_4seasons_test_1season_weekly,lr,fixed_stake,top5,225,45,-14940.000000000002,225000.0,-0.06640000000000001,0.5037661021885911,0.15480922098569158,-0.13180720122201148,0.7822222222222223,85060.0
train_4seasons_test_1season_weekly,mlp,fixed_stake,top5,225,45,-15520.000000000002,225000.0,-0.06897777777777779,0.5232140749769337,0.1482153660012099,-0.13183471369882152,0.7688888888888888,84480.0
weekly_walk_forward,lr,fixed_stake,top5,225,45,-16630.0,225000.0,-0.07391111111111111,0.5058627629314452,0.17094272076372316,-0.1461090171626798,0.7777777777777778,83370.0
weekly_walk_forward,lr,fractional_kelly,all,1541,45,-8111.995122625574,1463051.324975452,-0.0055445731698863555,0.8817174897499466,0.3446248483093846,-0.029961876400175818,0.5814406229720961,91888.0048773744
train_4seasons_test_1season_weekly,mlp,fractional_kelly,all,1769,45,-32791.4915134527,1945475.219614517,-0.01685526044374398,1.1359711556381542,0.5658341765688055,-0.03508775466783421,0.4482758620689655,67208.50848654746
weekly_walk_forward,mlp,fractional_kelly,all,2228,45,-58768.08783961209,2582125.001839831,-0.022759582823348327,1.003740132678577,0.7842059112883141,-0.034203313847338095,0.5143626570915619,41231.912160387605
weekly_walk_forward,gbm_calibrated,fractional_kelly,all,1307,45,-24370.234683504277,997730.8036674276,-0.024425661304557235,0.967122169916895,0.448179737447754,-0.015956916470067008,0.5455241009946442,75629.76531649588
train_4seasons_test_1season_weekly,lr,fractional_kelly,all,1581,45,-39527.74536200117,1316875.8074197613,-0.030016304604646358,0.9208070492685021,0.4183906525847177,-0.02324501597816687,0.5648323845667299,60472.25463799884
train_4seasons_test_1season_weekly,gbm,fractional_kelly,all,3323,45,-99531.03035133648,2146987.1524787312,-0.04635846573950212,1.044352451881582,0.9957494790237984,-0.045934408658423624,0.4914234125789949,468.9696486636058
train_4seasons_test_1season_weekly,gbm_calibrated,fractional_kelly,all,1768,45,-71661.7835387989,1493330.7261836308,-0.04798788525696407,1.0321263847759952,0.7840498105396788,-0.04087024471107496,0.49490950226244346,28338.216461200955
weekly_walk_forward,gbm,fractional_kelly,all,1909,45,-72626.3517145942,1481121.2227121764,-0.04903471140708079,0.9763633255923925,0.7490124379251163,-0.04375823847058125,0.5275013095861708,27373.648285405703
train_4seasons_test_1season_weekly,lr,fractional_kelly,top3,65,45,3066.7306601422606,160064.35948050636,0.019159359835602543,0.498628407194715,0.08780036333158628,-0.1326716352283816,0.7846153846153846,103066.73066014229
weekly_walk_forward,gbm_calibrated,fractional_kelly,top3,57,45,2399.275577411198,153677.75555231993,0.0156123803916069,0.47063194064884417,0.07951334368587243,-0.10922231224056232,0.8070175438596491,102399.27557741119
train_4seasons_test_1season_weekly,gbm_calibrated,fractional_kelly,top3,76,45,2558.3753126612346,274122.93088192405,0.009332948923427465,0.4666921860190378,0.12596972833808576,-0.016634428703334134,0.8289473684210527,102558.37531266126
weekly_walk_forward,lr,fractional_kelly,top3,64,45,1311.7918699373995,153689.75107757913,0.008535324318895126,0.45009159120804576,0.0784384955580532,-0.07290182851879384,0.828125,101311.79186993737
weekly_walk_forward,gbm,fractional_kelly,top3,91,45,163.66552754609893,332145.79409266874,0.000492752069895054,0.45029684958619565,0.09848775165916657,-0.018546983749327145,0.8351648351648352,100163.66552754614
train_4seasons_test_1season_weekly,mlp,fractional_kelly,top3,71,45,-1208.99806343208,280889.87491837546,-0.004304171034229717,0.4739136258312172,0.13344260664051305,-0.04933447872306515,0.8169014084507042,98791.00193656787
weekly_walk_forward,mlp,fractional_kelly,top3,68,45,-3957.2863767515973,210303.67866058656,-0.01881700977346356,0.49352068307020935,0.06853850649248026,-0.11114618507015459,0.7941176470588235,96042.71362324835
train_4seasons_test_1season_weekly,gbm,fractional_kelly,top3,120,45,-15341.483765942034,459592.98355092073,-0.03338058742196239,0.4808462355482221,0.2421323573583921,-0.04904547772209453,0.8166666666666667,84658.51623405794
train_4seasons_test_1season_weekly,gbm_calibrated,fractional_kelly,top5,101,45,7081.04064665578,351381.27861160535,0.02015201457127918,0.505423418218001,0.16453269068244297,-0.030951403897332298,0.801980198019802,107081.04064665576
weekly_walk_forward,mlp,fractional_kelly,top5,115,45,257.92326090910433,354537.76389638265,0.0007274916445416661,0.4982093335594653,0.09233890528930293,-0.017628350382167056,0.808695652173913,100257.92326090902
train_4seasons_test_1season_weekly,gbm,fractional_kelly,top5,178,45,-6628.510692946336,691342.0290841768,-0.009587889082524243,0.5084599252528582,0.24799960275082175,-0.02596516762741084,0.8033707865168539,93371.48930705362
weekly_walk_forward,gbm,fractional_kelly,top5,146,45,-5169.304858732095,465635.2120607452,-0.011101619303777493,0.4969646553650445,0.19294915360777395,-0.025359428663533603,0.8082191780821918,94830.69514126796
train_4seasons_test_1season_weekly,lr,fractional_kelly,top5,111,45,-3121.502980546332,252405.29747485847,-0.012367026412578594,0.5117861481371505,0.1104709300290437,-0.1277983111568659,0.7747747747747747,96878.49701945369
train_4seasons_test_1season_weekly,mlp,fractional_kelly,top5,101,45,-5205.599562579711,361748.65150892857,-0.014390100808575449,0.5235179931090342,0.16100925686200648,-0.1089355164883881,0.7722772277227723,94794.40043742029
weekly_walk_forward,gbm_calibrated,fractional_kelly,top5,98,45,-4297.917953730145,231832.9542163029,-0.01853885686035876,0.4691097634073844,0.1591075969434696,-0.0463317875110525,0.8163265306122449,95702.08204626986
weekly_walk_forward,lr,fractional_kelly,top5,106,45,-9297.336311856043,227354.1337862307,-0.040893632136892864,0.5092239572470267,0.13026325102541098,-0.18637312527564245,0.7641509433962265,90702.66368814398
